time,device_id,co2,humidity,pm25,pressure,temperature,rssi,snr,SF,frequency,f_count,p_count,toa,distance,tx_p,tx_cl,tx_ag,rx_ag,exp_pl
2024-09-05 14:00:19.176861+02:00,pilotdevice,441.0,57.68,15.21,320.09,25.66,-58.0,10.0,7.0,867.1,877.0,959.0,0.071936,0.07,14,1,0.4,3,74.4
2024-09-05 14:00:40.620660+02:00,pilotdevice01,,64.97,16.23,320.98,26.64,-42.0,12.5,9.0,867.9,15.0,17.0,0.226304,0.02,14,1,0.4,3,58.4
2024-09-05 14:01:15.663158+02:00,pilotdevice02,,70.59,14.86,321.02,25.34,-52.0,13.2,9.0,867.9,17.0,18.0,0.226304,0.05,14,1,0.4,3,68.4
2024-09-05 14:01:31.994062+02:00,pilotdevice,439.0,57.74,16.68,320.03,25.7,-57.0,10.2,12.0,867.7,878.0,960.0,1.810432,0.07,14,1,0.4,3,73.4
2024-09-05 14:01:40.663766+02:00,pilotdevice01,,64.98,16.79,320.98,26.66,-38.0,11.0,9.0,867.7,16.0,18.0,0.226304,0.02,14,1,0.4,3,54.4
2024-09-05 14:02:15.640143+02:00,pilotdevice02,,70.58,16.36,321.07,25.34,-50.0,9.0,9.0,867.5,18.0,19.0,0.226304,0.05,14,1,0.4,3,66.4
2024-09-05 14:02:40.714015+02:00,pilotdevice01,,65.01,17.75,320.94,26.7,-42.0,13.5,9.0,867.1,17.0,19.0,0.226304,0.02,14,1,0.4,3,58.4
2024-09-05 14:03:15.512577+02:00,pilotdevice02,,70.5,16.05,321.03,25.33,-45.0,11.5,8.0,867.1,19.0,20.0,0.123392,0.05,14,1,0.4,3,61.4
2024-09-05 14:03:40.649407+02:00,pilotdevice01,,64.87,18.0,320.94,26.72,-38.0,8.2,8.0,868.5,18.0,20.0,0.123392,0.02,14,1,0.4,3,54.4
2024-09-05 14:04:15.495228+02:00,pilotdevice02,,70.48,14.65,321.03,25.35,-45.0,10.8,8.0,868.1,20.0,21.0,0.123392,0.05,14,1,0.4,3,61.4
2024-09-05 14:04:33.110046+02:00,pilotdevice,445.0,57.71,15.31,320.06,25.75,-66.0,10.0,12.0,867.7,879.0,961.0,1.810432,0.07,14,1,0.4,3,82.4
2024-09-05 14:04:40.681263+02:00,pilotdevice01,,64.84,16.54,320.89,26.75,-40.0,12.2,8.0,867.9,19.0,21.0,0.113152,0.02,14,1,0.4,3,56.4
2024-09-05 14:05:15.474761+02:00,pilotdevice02,,70.38,15.57,321.04,25.36,-45.0,11.5,8.0,867.7,21.0,22.0,0.123392,0.05,14,1,0.4,3,61.4
2024-09-05 14:05:40.734196+02:00,pilotdevice01,,64.71,16.75,320.96,26.76,-38.0,8.5,8.0,867.5,20.0,22.0,0.123392,0.02,14,1,0.4,3,54.4
2024-09-05 14:06:15.454048+02:00,pilotdevice02,,70.42,14.8,321.01,25.36,-46.0,11.8,8.0,867.3,22.0,23.0,0.123392,0.05,14,1,0.4,3,62.4
2024-09-05 14:06:40.762853+02:00,pilotdevice01,,64.61,17.18,320.95,26.79,-40.0,11.5,8.0,867.1,21.0,23.0,0.113152,0.02,14,1,0.4,3,56.4
2024-09-05 14:07:15.439947+02:00,pilotdevice02,,70.39,15.65,320.98,25.36,-46.0,9.8,8.0,868.5,23.0,24.0,0.123392,0.05,14,1,0.4,3,62.4
2024-09-05 14:07:22.369825+02:00,pilotdevice,456.0,57.71,15.28,319.99,25.67,-54.0,10.5,11.0,868.3,880.0,964.0,0.987136,0.07,14,1,0.4,3,70.4
2024-09-05 14:07:40.820752+02:00,pilotdevice01,,64.51,17.04,320.93,26.8,-37.0,11.5,8.0,868.3,22.0,24.0,0.123392,0.02,14,1,0.4,3,53.4
2024-09-05 14:08:15.349743+02:00,pilotdevice02,,70.18,14.75,321.03,25.37,-44.0,9.8,7.0,868.1,24.0,25.0,0.066816,0.05,14,1,0.4,3,60.4
2024-09-05 14:08:20.440459+02:00,pilotdevice,458.0,57.61,13.8,320.04,25.74,-50.0,11.5,11.0,867.7,881.0,967.0,0.987136,0.07,14,1,0.4,3,66.4
2024-09-05 14:08:40.800433+02:00,pilotdevice01,,64.38,17.07,320.95,26.83,-39.0,10.5,7.0,868.1,23.0,25.0,0.066816,0.02,14,1,0.4,3,55.4
2024-09-05 14:09:15.318741+02:00,pilotdevice02,,70.0,14.66,321.05,25.37,-43.0,9.2,7.0,867.7,25.0,26.0,0.061696,0.05,14,1,0.4,3,59.4
2024-09-05 14:09:40.836417+02:00,pilotdevice01,,64.37,17.24,321.0,26.84,-38.0,9.5,7.0,867.7,24.0,26.0,0.061696,0.02,14,1,0.4,3,54.4
2024-09-05 14:09:59.260922+02:00,pilotdevice,455.0,57.57,15.05,320.03,25.76,-57.0,10.5,11.0,867.7,882.0,968.0,0.987136,0.07,14,1,0.4,3,73.4
